Demand ID,DF_region,DF_daytype,DF1,DF2,DF3,DF4,DF5,DF6,DF7,DF8,DF9,DF10,DF11,DF12
D1,APAC,Holiday,-1.4238250364546312,1.2637284581291104,-0.8706617379590857,-0.2591732349343976,-0.07534330701052097,-0.740884652085609,-1.3677927017829434,0.6488928021930399,0.361058113054895,-1.95286306301219,2.347409654378852,0.9684969057519236
D2,LATAM,Weekday,-0.7593871804245066,0.9021982742122517,-0.46695317332055025,-0.06068951873702798,0.7888443445192008,-1.2566681331396765,0.5758575143959287,1.3989789947237192,1.3222980607327857,-0.29969851529910546,0.9029193414250598,-1.6215827341822058
D3,LATAM,Weekday,-0.15818926067687128,0.44948393210667503,-1.343601072486395,-0.08168759069683368,1.7247399323163304,2.61815942636784,0.777361343810768,0.8286331955673406,-0.9589883130180109,-1.2093882869743162,-1.4122920134741184,0.5415468299050529
D4,EU,Weekday,0.7519393955576869,-0.6587603195674528,-1.2286749856452768,0.2575577684128723,0.3129029184347004,-0.13081169022343989,1.2699831204679328,-0.09296245773328372,-0.06615088900166237,-1.1082144670930707,0.1359568505505236,1.3470777642972676
D5,EU,Weekday,0.061144020976008406,0.07091460028470935,0.4336545370528692,0.277483659870901,0.5302523866401211,0.5367209691186955,0.618350014800829,-0.7950174561466702,0.3000309462866171,-1.6027015921637315,0.2667988297433962,-1.2616237817213791
D6,APAC,Weekend,-0.07127080619178035,0.4740497302500454,-0.4148537610713306,0.09771650001494636,-1.6404178369858733,-0.8572588238845005,0.6882817881370419,-1.1545295832450446,0.6504523890909877,,-0.9073824573718444,-1.0954253073243774
D7,EU,Weekend,0.007145694940042956,0.5343599029557071,-1.0658078466234504,-0.18147274021444693,1.621951798510875,-0.3173919456610792,-0.8158149668879264,0.38657901734760186,-0.2236389259485795,-0.7016908087073603,-1.7957131760562903,0.8183256215203523
D8,EU,Weekday,-0.5710329017935901,0.000785525062587761,-1.0636427168871747,1.301714500069574,0.7478729421405462,0.9808759091945427,-0.1104186881258106,0.46791853063369837,0.8906071496948115,1.0230093656399772,0.31238338941639765,-0.0619046856642053
D9,LATAM,Weekday,-0.3594796472983204,-0.7486439842988812,-0.965478907474904,0.36003465737991375,-0.24455253226153603,-1.9958566110829767,-0.1552476168361552,1.063830874667232,-0.2751715673396374,-1.8533359301507815,-0.1243419278483314,0.7849745223095677
D10,NA,Weekend,0.201998596747031,-0.42807444279817636,1.8482888956341395,1.8999528926119893,-0.09842503478028093,0.8134454397924208,0.3924943885517861,0.7814429004617206,1.4532715173139612,0.8201860453341152,,-0.6535056482163788
D11,NA,Weekday,-0.8118868792778379,-0.025538172399663744,,0.3005208697022348,0.05305664610327219,0.25727152381254337,0.035742862402861314,0.5472366858944854,-1.1229615793719292,-1.9752476678724065,-0.4251500496273028,-1.1490738210190379
D12,EU,Weekend,1.6151380541856668,-0.1584768602278531,,-1.538154034502331,0.28208603286021405,-0.6236121342785569,1.1218222632388664,0.8412210310146858,-0.7758961005461539,0.41071644017052067,-2.7224161043317197,-0.6733047987738846
D13,EU,Weekday,1.246221529161101,0.7902080282018997,0.17534088846317405,-0.029294601645347716,-1.4195142573515425,-1.3599663240249162,0.22341155858105105,1.7617794317958786,-2.17088984670659,0.6284881710818028,0.6011965260018283,0.9507578580526358
D14,APAC,Weekend,-0.8692466670412092,-0.5290070709143675,0.0456840955560058,-1.0275518112682733,-1.2292892985419785,-0.8833584719002474,-0.0708934636947166,0.3740533508588625,-0.024593738361064866,0.07726065834448786,-0.6839132179822826,-0.7208376678122493
D15,EU,Weekend,1.120622815042411,-0.05481416026812425,-0.0824137241779902,0.9359865007909188,1.2385371249615589,1.272795525467371,0.4058922175136146,-0.05032522141475025,0.28931753889400547,0.17930567677828915,1.3974805560965453,0.2920467917406912
D16,NA,Weekday,0.638405674353092,-0.0278877131482307,1.3710518498340016,-2.0528076291125594,0.3805090783924121,0.755390669317458,-1.1591258506012596,2.150310114960522,-0.15027021861875137,-0.1611642797660652,-1.0794424752754797,0.8779661844638975
D17,NA,Holiday,0.22446741387056884,-0.5915934535048691,0.22626280218566142,0.6861825069927676,1.2150046080596175,0.2160594414215084,-0.9648235572651651,-0.5566078046545981,-2.298387640184483,-0.7320821261044498,0.7364691004441314,0.4657167185098039
D18,EU,Weekday,-0.10787604879752731,-0.3414362942057366,1.584533793470381,0.28224120617806814,0.9095463907858574,0.39507156613663164,-0.6693765192360335,1.5553689805858288,-1.2381390312603113,-1.1961734611212997,-0.4291495058353073,-0.7296598932433178
