Demand ID,Plant ID,Cost_USD_per_MWh
D1,P1,80.065
D1,P2,88.879
D1,P3,82.043
D1,P4,75.773
D1,P5,81.941
D1,P6,59.702
D1,P7,55.478
D1,P8,83.31
D1,P9,61.308
D1,P10,58.459
D1,P11,69.651
D1,P12,53.55
D1,P13,86.857
D1,P14,46.203
D1,P15,49.21
D1,P16,72.969
D1,P17,64.819
D1,P18,65.423
D1,P19,70.198
D1,P20,53.122
D1,P21,64.739
D1,P22,62.326
D1,P23,60.657
D1,P24,58.01
D1,P25,67.091
D1,P26,46.772
D1,P27,55.717
D1,P28,58.668
D1,P29,45.993
D1,P30,84.222
D1,P31,68.553
D1,P32,65.961
D1,P33,77.567
D1,P34,57.865
D1,P35,54.338
D1,P36,59.869
D1,P37,57.388
D1,P38,55.364
D1,P39,58.38
D1,P40,66.929
D1,P41,72.317
D1,P42,42.794
D1,P43,46.073
D1,P44,60.115
D1,P45,59.927
D1,P46,76.455
D1,P47,67.053
D1,P48,51.237
D1,P49,48.511
D1,P50,54.765
D1,P51,58.616
D1,P52,76.516
D1,P53,69.769
D1,P54,67.656
D1,P55,70.46
D1,P56,46.707
D1,P57,52.386
D1,P58,78.913
D1,P59,52.946
D1,P60,52.098
D1,P61,66.896
D1,P62,51.171
D1,P63,46.345
D1,P64,54.228
D2,P1,64.895
D2,P2,88.522
D2,P3,66.988
D2,P4,78.765
D2,P5,82.291
D2,P6,64.731
D2,P7,63.847
D2,P8,68.875
D2,P9,63.512
D2,P10,65.1
D2,P11,71.161
D2,P12,61.741
D2,P13,76.537
D2,P14,54.018
D2,P15,39.943
D2,P16,60.14
D2,P17,64.221
D2,P18,60.923
D2,P19,69.118
D2,P20,53.589
D2,P21,64.966
D2,P22,52.656
D2,P23,60.054
D2,P24,60.791
D2,P25,56.544
D2,P26,51.106
D2,P27,45.703
D2,P28,50.902
D2,P29,59.886
D2,P30,81.63
D2,P31,68.773
D2,P32,78.55
D2,P33,62.572
D2,P34,59.759
D2,P35,54.373
D2,P36,70.882
D2,P37,67.604
D2,P38,66.209
D2,P39,63.451
D2,P40,62.725
D2,P41,61.81
D2,P42,47.78
D2,P43,56.28
D2,P44,52.001
D2,P45,62.571
D2,P46,72.175
D2,P47,60.554
D2,P48,63.864
D2,P49,69.048
D2,P50,64.786
D2,P51,63.546
D2,P52,84.929
D2,P53,58.502
D2,P54,65.141
D2,P55,65.127
D2,P56,59.653
D2,P57,68.412
D2,P58,78.136
D2,P59,57.074
D2,P60,47.613
D2,P61,72.898
D2,P62,67.59
D2,P63,61.955
D2,P64,53.272
D3,P1,63.966
D3,P2,72.088
D3,P3,50.829
D3,P4,69.889
D3,P5,87.348
D3,P6,74.173
D3,P7,71.67
D3,P8,71.538
D3,P9,54.28
D3,P10,72.594
D3,P11,73.767
D3,P12,81.022
D3,P13,75.019
D3,P14,163.953
D3,P15,51.606
D3,P16,71.527
D3,P17,77.931
D3,P18,61.604
D3,P19,59.653
D3,P20,55.679
D3,P21,64.204
D3,P22,45.845
D3,P23,60.413
D3,P24,52.556
D3,P25,55.849
D3,P26,43.141
D3,P27,57.353
D3,P28,42.775
D3,P29,69.129
D3,P30,52.791
D3,P31,69.421
D3,P32,54.232
D3,P33,40.112
D3,P34,51.735
D3,P35,53.613
D3,P36,61.26
D3,P37,66.505
D3,P38,52.921
D3,P39,72.885
D3,P40,62.787
D3,P41,67.214
D3,P42,38.291
D3,P43,48.923
D3,P44,62.531
D3,P45,74.139
D3,P46,74.294
D3,P47,72.18
D3,P48,82.293
D3,P49,59.599
D3,P50,57.239
D3,P51,63.119
D3,P52,74.487
D3,P53,67.266
D3,P54,42.74
D3,P55,71.272
D3,P56,61.027
D3,P57,62.875
D3,P58,67.834
D3,P59,75.103
D3,P60,51.857
D3,P61,35.438
D3,P62,72.229
D3,P63,64.04
D3,P64,70.042
D4,P1,58.829
D4,P2,68.47
D4,P3,50.942
D4,P4,67.819
D4,P5,76.394
D4,P6,69.46
D4,P7,57.385
D4,P8,67.707
D4,P9,57.787
D4,P10,64.279
D4,P11,64.954
D4,P12,75.767
D4,P13,68.682
D4,P14,53.855
D4,P15,51.597
D4,P16,73.457
D4,P17,66.935
D4,P18,65.821
D4,P19,64.19
D4,P20,50.792
D4,P21,58.055
D4,P22,259.28499999999997
D4,P23,59.794
D4,P24,46.2
D4,P25,57.194
D4,P26,51.774
D4,P27,56.226
D4,P28,46.701
D4,P29,75.158
D4,P30,60.596
D4,P31,
D4,P32,47.171
D4,P33,49.179
D4,P34,54.424
D4,P35,60.773
D4,P36,59.258
D4,P37,57.538
D4,P38,42.939
D4,P39,67.189
D4,P40,67.035
D4,P41,80.226
D4,P42,47.646
D4,P43,50.573
D4,P44,68.675
D4,P45,59.398
D4,P46,76.39
D4,P47,73.692
D4,P48,70.957
D4,P49,61.544
D4,P50,48.595
D4,P51,56.455
D4,P52,69.469
D4,P53,66.61
D4,P54,43.427
D4,P55,65.747
D4,P56,67.543
D4,P57,49.794
D4,P58,75.203
D4,P59,79.247
D4,P60,44.781
D4,P61,37.659
D4,P62,65.303
D4,P63,61.593
D4,P64,62.626
D5,P1,62.741
D5,P2,76.437
D5,P3,54.138
D5,P4,66.82
D5,P5,73.111
D5,P6,63.165
D5,P7,48.32
D5,P8,57.923
D5,P9,56.802
D5,P10,57.15
D5,P11,68.936
D5,P12,65.021
D5,P13,67.258
D5,P14,55.256
D5,P15,42.279
D5,P16,56.972
D5,P17,57.969
D5,P18,59.532
D5,P19,62.154
D5,P20,51.864
D5,P21,61.35
D5,P22,39.273
D5,P23,63.096
D5,P24,50.0
D5,P25,61.895
D5,P26,44.17
D5,P27,53.928
D5,P28,41.55
D5,P29,71.425
D5,P30,62.998
D5,P31,56.896
D5,P32,64.588
D5,P33,48.928
D5,P34,55.818
D5,P35,51.661
D5,P36,67.091
D5,P37,61.259
D5,P38,47.875
D5,P39,58.519
D5,P40,68.805
D5,P41,70.977
D5,P42,47.893
D5,P43,43.589
D5,P44,58.635
D5,P45,55.263
D5,P46,70.83
D5,P47,63.462
D5,P48,63.256
D5,P49,54.131
D5,P50,57.056
D5,P51,59.276
D5,P52,70.979
D5,P53,58.954
D5,P54,54.525
D5,P55,65.185
D5,P56,55.398
D5,P57,50.267
D5,P58,67.739
D5,P59,69.204
D5,P60,37.596
D5,P61,51.361
D5,P62,62.559
D5,P63,57.612
D5,P64,53.283
D6,P1,60.114
D6,P2,71.09
D6,P3,52.708
D6,P4,80.349
D6,P5,76.784
D6,P6,62.901
D6,P7,51.384
D6,P8,66.313
D6,P9,60.79
D6,P10,60.25
D6,P11,52.583
D6,P12,56.354
D6,P13,63.734
D6,P14,49.518
D6,P15,31.169
D6,P16,50.662
D6,P17,61.545
D6,P18,58.873
D6,P19,62.313
D6,P20,48.97
D6,P21,54.751
D6,P22,45.382
D6,P23,67.624
D6,P24,51.781
D6,P25,52.64
D6,P26,51.19
D6,P27,50.91
D6,P28,33.259
D6,P29,68.814
D6,P30,57.469
D6,P31,63.157
D6,P32,75.154
D6,P33,50.213
D6,P34,62.871
D6,P35,60.826
D6,P36,61.102
D6,P37,58.923
D6,P38,51.491
D6,P39,64.954
D6,P40,63.776
D6,P41,75.611
D6,P42,50.448
D6,P43,46.711
D6,P44,53.552
D6,P45,54.141
D6,P46,67.812
D6,P47,67.464
D6,P48,69.019
D6,P49,57.335
D6,P50,56.71
D6,P51,62.767
D6,P52,69.008
D6,P53,63.461
D6,P54,57.38
D6,P55,65.266
D6,P56,58.369
D6,P57,57.866
D6,P58,74.411
